artist_name,total_weeks,jan,fev,mar
DJ Japa NK,13,True,True,True
MC Meno K,13,True,True,True
MC Ryan SP,13,True,True,True
Mc Jacaré,13,True,True,True
DJ DAVI DOGDOG,13,True,True,True
PEDRO SAMPAIO,13,True,True,True
Melody,13,True,True,True
Panda,13,True,True,True
MJ Records,13,True,True,True
Grupo Menos É Mais,13,True,True,True
Simone Mendes,13,True,True,True
Vitinho Imperador,13,True,True,True
MC GP,13,True,True,True
Mc Lele JP,13,True,True,True
Dj Andrabeat,13,True,True,True
Mc IG,13,True,True,True
MC LUUKY,13,True,True,True
Mc Rodrigo do CN,13,True,True,True
MC GH do 7,13,True,True,True
MC Jvila,13,True,True,True
Oruam,13,True,True,True
NATTAN,13,True,True,True
Mc Gw,13,True,True,True
Mc Jhey,13,True,True,True
MC Nito,13,True,True,True
AgroPlay,13,True,True,True
Ana Castela,13,True,True,True
CountryBeat,13,True,True,True
Diego & Victor Hugo,13,True,True,True
Murilo Huff,13,True,True,True
Gusttavo Lima,13,True,True,True
MC Leozinho ZS,13,True,True,True
MC GH Original,13,True,True,True
MC Menor ZL,13,True,True,True
DJ GORDINHO DA VF,13,True,True,True
MC PR,13,True,True,True
Turma do Pagode,13,True,True,True
Henrique & Juliano,13,True,True,True
DJ Oreia,13,True,True,True
MC Tuto,13,True,True,True
Mc Negão Original,13,True,True,True
Ícaro e Gilmar,13,True,True,True
Matheus & Kauan,13,True,True,True
Danilo e Davi,13,True,True,True
Léo Santana,13,True,True,True
Dj Caio Vieira,13,True,True,True
Rafa e Junior,13,True,True,True
Hugo & Guilherme,13,True,True,True
DJ Ari SL,13,True,True,True
Mari Fernandez,13,True,True,True
Grelo,13,True,True,True
Natanzinho Lima,13,True,True,True
Yasmin Sensação,13,True,True,True
Felipe Amorim,13,True,True,True
Mc Brinquedo,13,True,True,True
DJ Guh Mix,13,True,True,True
Felipe e Rodrigo,13,True,True,True
Taylor Swift,13,True,True,True
Zé Felipe,13,True,True,True
Djo,13,True,True,True
Humberto & Ronaldo,13,True,True,True
Matheus Vargas,13,True,True,True
Cleber & Cauan,13,True,True,True
Diego & Arnaldo,13,True,True,True
Zé Neto & Cristiano,13,True,True,True
DJ Zigão,13,True,True,True
MC Roger,13,True,True,True
Ferrugem,13,True,True,True
Veigh,13,True,True,True
Supernova Ent,13,True,True,True
Mayke & Rodrigo,13,True,True,True
Anitta,13,True,True,True
HITMAKER,13,True,True,True
Luan Pereira,13,True,True,True
Clayton & Romário,13,True,True,True
Guilherme & Benuto,13,True,True,True
Luan Santana,13,True,True,True
Dexhenry,13,True,True,True
DJ QUIRINO,13,True,True,True
Yuri Redicopa,13,True,True,True
Ascending,13,True,True,True
Lauana Prado,13,True,True,True
Sorriso Maroto,13,True,True,True
Mc Paiva ZS,13,True,True,True
Jorge & Mateus,13,True,True,True
MC Willian,13,True,True,True
Legião Urbana,13,True,True,True
Marília Mendonça,13,True,True,True
Léo Foguete,13,True,True,True
Matuê,13,True,True,True
Fepache,13,True,True,True
The Police,13,True,True,True
Mc Don Juan,13,True,True,True
Mc DR,13,True,True,True
Gubeatz,13,True,True,True
Wesley Safadão,13,True,True,True
Henry Freitas,13,True,True,True
Matheus Fernandes,13,True,True,True
Júnior e Cézar,13,True,True,True
Dj Yuri Pedrada,13,True,True,True
Nilo,13,True,True,True
Mc Livinho,13,True,True,True
MC GDL,13,True,True,True
DJ Di Marques,13,True,True,True
Tropa da W&S,13,True,True,True
FamousKyo,13,True,True,True
MORADA,13,True,True,True
Natiruts,13,True,True,True
Julliany Souza,13,True,True,True
Dj Luan Gomes,13,True,True,True
Marina Sena,13,True,True,True
Charlie Brown Jr.,13,True,True,True
BNYX,13,True,True,True
Azul Wynter,13,True,True,True
Bryan Yepes,13,True,True,True
Alex Warren,13,True,True,True
Gabriel Guedes de Almeida,13,True,True,True
Henrique & Diego,13,True,True,True
MC Guime,13,True,True,True
Aaron Modesto,13,True,True,True
MC RN do Capão,13,True,True,True
DU'L,13,True,True,True
MC Rick,13,True,True,True
Marquinho no Beat,13,True,True,True
Vitor Limma,13,True,True,True
Guns N' Roses,13,True,True,True
Lady Gaga,13,True,True,True
Bruno Mars,13,True,True,True
fhop music,13,True,True,True
Hamilton Rabelo,13,True,True,True
Orochi,13,True,True,True
Filipe Ret,13,True,True,True
Amani Kush,13,True,True,True
Boladin 211,12,True,True,True
Dj Felipe Maia,12,True,True,True
DJ Kaioken,12,True,True,True
The Neighbourhood,12,True,True,True
Drops INA,12,True,True,True
Xamã,12,True,True,True
Vitor Santana,12,True,True,True
Simone & Simaria,12,True,True,True
NandaTsunami,12,True,True,True
Stick,12,True,True,True
Bvga Beatz,12,True,True,True
Torelli,12,True,True,True
Sotam,12,True,True,True
Rob,12,True,True,True
Racionais MC's,12,True,True,True
Zezé Di Camargo & Luciano,12,True,True,True
ANAVITÓRIA,12,True,True,True
Lenine,12,True,True,True
Luis Fonsi,11,True,True,True
Vitão,11,True,True,True
BIN,11,True,True,True
Malibu,11,True,True,True
DJ DUARTE,11,True,True,True
DJ ORBITAL,11,True,True,True
Dj Rs,11,True,True,True
Dj Guuh,11,True,True,True
Get Worship,11,True,True,True
Get Records,11,True,True,True
Melk Villar,11,True,True,True
Vinicius Cruz,11,True,True,True
cjnobeat,11,True,True,True
Mc Morena,11,True,True,True
O Rappa,11,True,True,True
Xand Avião,11,True,True,True
Israel & Rodolffo,11,True,True,True
sombr,11,True,True,True
DJ YUZAK,10,True,True,True
MC BN,10,True,True,True
Mc RN Original,10,True,True,True
Claudia Leitte,10,True,True,True
Alexsander Lucio,10,True,True,True
Zago,10,True,True,True
2ZDinizz,10,True,True,True
Leborato,10,True,True,True
HHR,10,True,True,True
Grupo Chocolate,9,True,True,True
KayBlack,9,True,True,True
Vulgo FK,9,True,True,True
Galdino,9,True,True,True
H4lfmeasures,9,True,True,True
Honaiser,9,True,True,True
Murillo e LT no Beat,9,True,True,True
DJ Hyago,9,True,True,True
Nuzio Medeiros,9,True,True,True
Kadu Martins,9,True,True,True
DG e Batidão Stronda,9,True,True,True
Mc Davi,9,True,True,True
J. Eskine,9,True,True,True
MC G15,9,True,True,True
Kaique e Felipe,9,True,True,True
DJ TOPO,9,True,True,True
Bagua Records,9,True,True,True
Neo Beats,9,True,True,True
Maiara & Maraisa,8,True,True,True
Brandão85,8,True,True,True
Portugal No Beat,8,True,True,True
1Kilo,8,True,True,True
Baviera,8,True,True,True
Knust,8,True,True,True
Pablo Martins,8,True,True,True
Teddy Swims,7,True,True,True
DJ MTN,6,True,True,True
DJ ML ORIGINAL,6,True,True,True
DJ LKC ORIGINAL,6,True,True,True
Mc Oliveira,6,True,True,True
MC Star Rj,6,True,True,True
FreesTyle Sounds,6,True,True,True
